City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descritpion
69,Ust-Nera,RU,64.5667,143.2,74.71,53,51,3.09,broken clouds
70,Chokurdakh,RU,70.6333,147.9167,58.12,39,100,10.85,overcast clouds
71,Coihaique,CL,-45.5752,-72.0662,30.81,86,0,3.44,clear sky
72,Windhoek,NA,-22.5594,17.0832,59.2,34,0,5.75,clear sky
73,Rosetta,EG,31.4044,30.4164,79.9,60,0,16.08,clear sky
74,Broome,US,42.2506,-75.833,64.17,95,100,5.75,overcast clouds
75,Aksu,CN,41.1231,80.2644,88.32,19,100,5.26,overcast clouds
76,Punta Arenas,CL,-53.15,-70.9167,35.71,87,75,12.66,broken clouds
77,Sur,OM,22.5667,59.5289,97.07,47,100,5.23,overcast clouds
78,Bethel,US,41.3712,-73.414,71.96,83,40,8.05,scattered clouds
79,Georgetown,MY,5.4112,100.3354,87.75,71,40,9.22,scattered clouds
80,Ostrovnoy,RU,68.0531,39.5131,71.06,66,90,15.3,overcast clouds
81,Bestobe,KZ,52.4994,73.0975,83.55,33,1,7.11,clear sky
82,Elko,US,41.0002,-115.5012,77.02,33,21,2.24,few clouds
83,Tessalit,ML,20.1986,1.0114,94.35,25,25,20.38,scattered clouds
84,Hilo,US,19.7297,-155.09,74.93,94,100,6.91,light rain
85,Panalingaan,PH,8.7842,117.4231,82.85,81,100,10.13,overcast clouds
86,Jalu,LY,29.0331,21.5482,85.12,34,0,10.04,clear sky
87,Pangody,RU,65.85,74.4859,62.65,48,99,9.57,overcast clouds
88,Saint George,US,37.1041,-113.5841,90.19,27,0,8.05,clear sky
89,Maridi,SS,4.9158,29.4742,78.44,67,73,3.42,broken clouds
90,Araouane,ML,18.9048,-3.5265,89.1,45,15,25.48,few clouds
91,Alofi,NU,-19.0595,-169.9187,75.09,83,93,5.75,overcast clouds
92,Saldanha,ZA,-33.0117,17.9442,55.45,87,92,4.54,overcast clouds
93,Naze,JP,28.3667,129.4833,86.92,77,60,10.92,broken clouds
94,Hobart,AU,-42.8794,147.3294,52.05,79,75,2.3,moderate rain
95,Narsaq,GL,60.9167,-46.05,50.22,52,100,8.99,overcast clouds
96,Pisco,PE,-13.7,-76.2167,54.01,87,3,3.44,mist
97,Namibe,AO,-15.1961,12.1522,69.87,69,0,2.46,clear sky
98,Mataura,NZ,-46.1927,168.8643,36.48,97,91,1.48,overcast clouds
99,Hanstholm,DK,57.1167,8.6167,57.52,69,100,25.64,overcast clouds
100,Linjiang,CN,41.8069,126.9078,74.19,84,33,7.11,scattered clouds
101,Richards Bay,ZA,-28.783,32.0377,71.87,28,0,3.22,clear sky
102,Antofagasta,CL,-23.65,-70.4,58.28,86,33,2.8,scattered clouds
103,Ronse,BE,50.7505,3.6049,69.8,77,61,7.25,broken clouds
104,San Patricio,US,28.017,-97.5169,83.89,82,55,7.45,broken clouds
105,Touros,BR,-5.1989,-35.4608,72.52,92,30,11.25,scattered clouds
106,Cururupu,BR,-1.8283,-44.8683,74.89,91,30,4.54,scattered clouds
107,Campobasso,IT,41.6333,14.5833,79.95,23,0,5.23,clear sky
108,Bambous Virieux,MU,-20.3428,57.7575,73.65,64,75,18.41,light rain
109,Morehead,US,37.2711,-87.1764,66.85,97,0,0.0,clear sky
110,Saskylakh,RU,71.9167,114.0833,50.74,58,100,9.6,overcast clouds
111,Pevek,RU,69.7008,170.3133,36.86,81,53,19.77,broken clouds
112,Rudnogorsk,RU,57.2639,103.7519,57.74,84,100,2.08,overcast clouds
113,Beringovskiy,RU,63.05,179.3167,48.22,95,100,3.53,light rain
114,Gamba,GA,-2.65,10.0,75.38,69,33,7.02,scattered clouds
115,Umm Lajj,SA,25.0213,37.2685,89.55,57,59,13.09,broken clouds
116,Longyearbyen,SJ,78.2186,15.6401,53.44,76,20,4.61,few clouds
117,Camacha,PT,33.0833,-16.3333,65.62,73,75,1.14,broken clouds
118,Maldonado,UY,-34.6667,-54.9167,48.22,91,91,9.26,overcast clouds
119,Gat,IL,31.61,34.7642,84.78,10,5,9.31,clear sky
120,Havre,FR,49.5833,0.3333,72.34,88,0,9.22,clear sky
121,Culebra,PR,18.303,-65.301,82.44,97,8,10.0,clear sky
122,Bredasdorp,ZA,-34.5322,20.0403,57.83,85,96,10.27,light rain
123,Faya,SA,18.3851,42.4509,81.12,24,99,8.41,overcast clouds
124,San Policarpo,PH,12.1791,125.5072,85.21,70,1,6.82,clear sky
125,Ishigaki,JP,24.3448,124.1572,89.73,70,40,14.97,scattered clouds
126,Qaqortoq,GL,60.7167,-46.0333,49.78,64,100,6.06,light rain
127,Bustamante,MX,26.5333,-100.5,77.09,67,0,4.34,clear sky
128,Ponta Do Sol,PT,32.6667,-17.1,68.72,73,1,1.88,clear sky
129,Provideniya,RU,64.3833,-173.3,53.91,64,100,1.41,overcast clouds
130,Nouadhibou,MR,20.931,-17.0347,67.98,88,1,14.97,clear sky
131,Kahului,US,20.8947,-156.47,78.82,78,0,12.66,clear sky
132,Puerto Ayora,EC,-0.7393,-90.3518,70.56,92,98,8.01,overcast clouds
133,Bitung,ID,1.4451,125.1824,83.25,78,87,4.45,light rain
134,Puerto Carreno,CO,6.189,-67.4859,73.6,94,88,3.83,overcast clouds
135,Gornopravdinsk,RU,60.05,69.9,79.72,60,28,9.04,light rain
136,Mount Gambier,AU,-37.8333,140.7667,47.59,93,6,3.71,clear sky
137,Kuliyapitiya,LK,7.4688,80.0401,87.48,68,100,10.98,overcast clouds
138,Palu,ID,-0.8917,119.8707,74.75,99,100,2.68,light rain
139,Kaduna,NG,10.5222,7.4383,74.01,85,100,8.21,overcast clouds
140,Avarua,CK,-21.2078,-159.775,73.45,64,75,10.36,broken clouds
141,Thompson,CA,55.7435,-97.8558,66.36,72,20,4.61,few clouds
142,Quatre Cocos,MU,-20.2078,57.7625,73.51,71,49,18.37,light rain
143,Lagoa,PT,39.05,-27.9833,68.65,91,100,13.47,overcast clouds
144,Tongliao,CN,43.6125,122.2653,74.68,69,93,9.1,overcast clouds
145,Wareham,GB,50.6889,-2.1104,66.51,62,2,7.0,clear sky
146,Caidian,CN,30.5833,114.0333,100.53,48,69,12.88,broken clouds
147,Flinders,AU,-34.5833,150.8552,55.18,67,48,5.99,scattered clouds
148,Hasaki,JP,35.7333,140.8333,75.29,85,99,10.49,overcast clouds
149,Jamame,SO,0.0722,42.7506,82.63,66,80,15.79,light rain
150,Ngunguru,NZ,-35.6167,174.5,60.33,95,100,0.13,overcast clouds
151,Kodiak,US,57.79,-152.4072,56.71,82,100,3.44,overcast clouds
152,Sorokino,RU,53.75,84.9167,69.37,32,86,6.02,overcast clouds
153,Gorele,TR,41.0308,39.0031,67.68,89,100,6.42,overcast clouds
154,Olafsvik,IS,64.8945,-23.7142,49.86,79,87,6.33,overcast clouds
155,Manali,IN,13.1667,80.2667,93.29,61,99,16.06,overcast clouds
156,Westport,US,41.1415,-73.3579,74.08,81,0,9.22,clear sky
157,Husavik,IS,66.0449,-17.3389,47.34,84,100,1.92,light rain
158,Panaba,MX,21.2833,-88.2667,75.09,97,100,6.08,overcast clouds
159,Carutapera,BR,-1.195,-46.02,75.99,90,12,7.25,few clouds
160,Algiers,DZ,36.7525,3.042,73.22,64,0,2.3,clear sky
161,Buin,CL,-33.7333,-70.75,51.73,96,100,5.46,overcast clouds
162,Vestmannaeyjar,IS,63.4427,-20.2734,50.14,79,100,10.0,overcast clouds
163,Melfi,IT,40.9965,15.6514,80.49,26,0,6.2,clear sky
164,Waipawa,NZ,-41.4122,175.5153,46.11,79,100,8.41,overcast clouds
165,Olinda,BR,-8.0089,-34.8553,73.13,94,75,10.36,broken clouds
166,Korla,CN,41.7597,86.1469,90.32,18,100,18.77,overcast clouds
167,Pangnirtung,CA,66.1451,-65.7125,43.92,91,92,1.45,overcast clouds
168,Miles City,US,46.4083,-105.8406,72.57,68,0,13.8,clear sky
169,Hualmay,PE,-11.0964,-77.6139,59.18,85,68,11.27,broken clouds
170,Evensk,RU,61.95,159.2333,60.75,78,14,5.44,few clouds
171,Saint-Philippe,RE,-21.3585,55.7679,75.22,80,56,12.35,light rain
172,San Miguel,SV,13.4833,-88.1833,72.14,98,100,2.46,overcast clouds
173,Maragogi,BR,-9.0122,-35.2225,73.62,82,50,10.47,scattered clouds
174,Aklavik,CA,68.2191,-135.0107,37.78,86,100,21.18,overcast clouds
